Date,Open,High,Low,Close,Adj Close,Volume
2019-08-20,10.140000,10.140000,10.140000,10.140000,9.656123,0
2019-08-21,10.220000,10.220000,10.220000,10.220000,9.732305,0
2019-08-22,10.220000,10.220000,10.220000,10.220000,9.732305,0
2019-08-23,9.950000,9.950000,9.950000,9.950000,9.475188,0
2019-08-26,10.060000,10.060000,10.060000,10.060000,9.579941,0
2019-08-27,10.030000,10.030000,10.030000,10.030000,9.551372,0
2019-08-28,10.090000,10.090000,10.090000,10.090000,9.608507,0
2019-08-29,10.230000,10.230000,10.230000,10.230000,9.741827,0
2019-08-30,10.230000,10.230000,10.230000,10.230000,9.741827,0
2019-09-03,10.160000,10.160000,10.160000,10.160000,9.675168,0
2019-09-04,10.270000,10.270000,10.270000,10.270000,9.779919,0
2019-09-05,10.410000,10.410000,10.410000,10.410000,9.913238,0
2019-09-06,10.420000,10.420000,10.420000,10.420000,9.922761,0
2019-09-09,10.410000,10.410000,10.410000,10.410000,9.913238,0
2019-09-10,10.420000,10.420000,10.420000,10.420000,9.922761,0
2019-09-11,10.490000,10.490000,10.490000,10.490000,9.989422,0
2019-09-12,10.520000,10.520000,10.520000,10.520000,10.017989,0
2019-09-13,10.520000,10.520000,10.520000,10.520000,10.017989,0
2019-09-16,10.490000,10.490000,10.490000,10.490000,9.989422,0
2019-09-17,10.520000,10.520000,10.520000,10.520000,10.017989,0
2019-09-18,10.520000,10.520000,10.520000,10.520000,10.017989,0
2019-09-19,10.520000,10.520000,10.520000,10.520000,10.017989,0
2019-09-20,10.470000,10.470000,10.470000,10.470000,9.970375,0
2019-09-23,10.470000,10.470000,10.470000,10.470000,9.970375,0
2019-09-24,10.380000,10.380000,10.380000,10.380000,9.884670,0
2019-09-25,10.440000,10.440000,10.440000,10.440000,9.941805,0
2019-09-26,10.420000,10.420000,10.420000,10.420000,9.922761,0
2019-09-27,10.360000,10.360000,10.360000,10.360000,9.865624,0
2019-09-30,10.420000,10.420000,10.420000,10.420000,9.922761,0
2019-10-01,10.290000,10.290000,10.290000,10.290000,9.798964,0
2019-10-02,10.110000,10.110000,10.110000,10.110000,9.627553,0
2019-10-03,10.190000,10.190000,10.190000,10.190000,9.703736,0
2019-10-04,10.340000,10.340000,10.340000,10.340000,9.846579,0
2019-10-07,10.290000,10.290000,10.290000,10.290000,9.798964,0
2019-10-08,10.130000,10.130000,10.130000,10.130000,9.646599,0
2019-10-09,10.230000,10.230000,10.230000,10.230000,9.741827,0
2019-10-10,10.290000,10.290000,10.290000,10.290000,9.798964,0
2019-10-11,10.410000,10.410000,10.410000,10.410000,9.913238,0
2019-10-14,10.390000,10.390000,10.390000,10.390000,9.894193,0
2019-10-15,10.500000,10.500000,10.500000,10.500000,9.998943,0
2019-10-16,10.470000,10.470000,10.470000,10.470000,9.970375,0
2019-10-17,10.500000,10.500000,10.500000,10.500000,9.998943,0
2019-10-18,10.460000,10.460000,10.460000,10.460000,9.960852,0
2019-10-21,10.530000,10.530000,10.530000,10.530000,10.027511,0
2019-10-22,10.490000,10.490000,10.490000,10.490000,9.989422,0
2019-10-23,10.520000,10.520000,10.520000,10.520000,10.017989,0
2019-10-24,10.550000,10.550000,10.550000,10.550000,10.046557,0
2019-10-25,10.590000,10.590000,10.590000,10.590000,10.084649,0
2019-10-28,10.650000,10.650000,10.650000,10.650000,10.141785,0
2019-10-29,10.650000,10.650000,10.650000,10.650000,10.141785,0
2019-10-30,10.680000,10.680000,10.680000,10.680000,10.170355,0
2019-10-31,10.650000,10.650000,10.650000,10.650000,10.141785,0
2019-11-01,10.750000,10.750000,10.750000,10.750000,10.237013,0
2019-11-04,10.790000,10.790000,10.790000,10.790000,10.275104,0
2019-11-05,10.780000,10.780000,10.780000,10.780000,10.265581,0
2019-11-06,10.780000,10.780000,10.780000,10.780000,10.265581,0
2019-11-07,10.820000,10.820000,10.820000,10.820000,10.303673,0
2019-11-08,10.850000,10.850000,10.850000,10.850000,10.332242,0
2019-11-11,10.830000,10.830000,10.830000,10.830000,10.313195,0
2019-11-12,10.850000,10.850000,10.850000,10.850000,10.332242,0
2019-11-13,10.860000,10.860000,10.860000,10.860000,10.341763,0
2019-11-14,10.870000,10.870000,10.870000,10.870000,10.351287,0
2019-11-15,10.950000,10.950000,10.950000,10.950000,10.427468,0
2019-11-18,10.960000,10.960000,10.960000,10.960000,10.436992,0
2019-11-19,10.960000,10.960000,10.960000,10.960000,10.436992,0
